COD_STA,MES,D_INICIO,D_FIN,ALPHA
I0,1,24/03/2020,23/04/2020,0.3
I0,2,24/04/2020,23/05/2020,0.3
I0,3,24/05/2020,23/06/2020,0.3
I0,4,24/06/2020,23/07/2020,0.5
I0,5,24/07/2020,23/08/2020,0.6
I0,6,24/08/2020,23/09/2020,0.6
I0,7,24/09/2020,23/10/2020,0.6
I0,8,24/10/2020,23/11/2020,0.3
I0,9,24/11/2020,23/12/2020,0.3
I0,10,24/12/2020,23/01/2021,0.3
I0,11,24/01/2021,23/02/2021,0.3
I0,12,24/02/2021,23/03/2021,0.3
I1,1,24/03/2020,23/04/2020,0.3
I1,2,24/04/2020,23/05/2020,0.3
I1,3,24/05/2020,23/06/2020,0.3
I1,4,24/06/2020,23/07/2020,0.7
I1,5,24/07/2020,23/08/2020,0.7
I1,6,24/08/2020,23/09/2020,0.7
I1,7,24/09/2020,23/10/2020,0.7
I1,8,24/10/2020,23/11/2020,0.3
I1,9,24/11/2020,23/12/2020,0.3
I1,10,24/12/2020,23/01/2021,0.3
I1,11,24/01/2021,23/02/2021,0.3
I1,12,24/02/2021,23/03/2021,0.3
