COD_UBT,COD_SDS,FPOB,BEQU,LAMS,LAME,LAMI,LAMR
TAM,E1Y00,0.070386492,0,0,0,0,0
MAD,E1Y00,0.046593323,0,0,0,0,0
ALT,E1Y00,0.087763639,0,0,0,0,0
TAM,E1Y30,0.066246184,0,0,0,0,0
MAD,E1Y30,0.041112127,0,0,0,0,0
ALT,E1Y30,0.063857886,0,0,0,0,0
TAM,E1Y60,0.02484311,0,0,0,0,0
MAD,E1Y60,0.013703621,0,0,0,0,0
ALT,E1Y60,0.012117325,0,0,0,0,0
TAM,E2Y00,0.111790832,0,0,0,0,0
MAD,E2Y00,0.079481759,0,0,0,0,0
ALT,E2Y00,0.079404595,0,0,0,0,0
TAM,E2Y30,0.103510217,0,0,0,0,0
MAD,E2Y30,0.068519369,0,0,0,0,0
ALT,E2Y30,0.057775821,0,0,0,0,0
TAM,E2Y60,0.037264032,0,0,0,0,0
MAD,E2Y60,0.024667276,0,0,0,0,0
ALT,E2Y60,0.010962391,0,0,0,0,0
